Type;DAT category;Platform;purpose for;DAT name;DAT provider name;DAT short Description;DAT provider website;Platform Link;Crop type;Cost Info
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Irrigation-DSS;Plantae manager;Plantae;Plantae Manager is an irrigation decision support system (DSS) designed to help farmers optimize their irrigation practices and improve water use efficiency. The software collects data on a range of factors that can impact irrigation, including soil moisture, weather conditions, crop growth stage, and more. Based on this data, Plantae Manager provides recommendations on when and how much to irrigate, as well as tools for creating irrigation schedules and monitoring water use. The software is designed to work with a range of irrigation systems, including drip irrigation, sprinkler irrigation, and pivot systems. It can also integrate with weather stations, soil moisture sensors, and other monitoring equipment to provide real-time data and insights. Overall, Plantae Manager is a comprehensive irrigation DSS that can help farmers save water, reduce costs, and improve crop yields.;https://plantae.garden/;NA;arable,vegetables,orchards;700euro/year
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Irrigation-DSS;Zen-Irriware;Agritask ;Zen-Irriware and Zen Agro are irrigation management solutions that use sensors, weather data, and other inputs to provide real-time insights into soil moisture, crop water use, and other factors affecting irrigation. These platforms can provide alerts and recommendations for when and how much to irrigate, helping farmers optimize their irrigation practices and improve water use efficiency.;https://zenagropc.com/georgia-akriveias/;NA;arable crops, fruits, vineyards and vegetables;20-30 euros per year for up to five plots or 3.000 euros for private use by a company or cooperative
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Irrigation-DSS;Zen Agro;Agritask ;Zen-Irriware and Zen Agro are irrigation management solutions that use sensors, weather data, and other inputs to provide real-time insights into soil moisture, crop water use, and other factors affecting irrigation. These platforms can provide alerts and recommendations for when and how much to irrigate, helping farmers optimize their irrigation practices and improve water use efficiency.;https://zenagropc.com/georgia-akriveias/;NA;arable crops, fruits, vineyards and vegetables;20-30 euros per year for up to five plots or 3.000 euros for private use by a company or cooperative
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Multipurpose - DSS/ FMIS;AgriTask DSS;Agritask ;Agritask is a farm management platform that provides a range of tools and features to help farmers manage their operations more efficiently. The platform includes capabilities for field mapping, crop scouting, pest management, and harvest tracking, among others. Agritask can also integrate with a range of sensors and other data sources to provide real-time insights into crop performance and other factors affecting farm productivity. Zen-Irriware and Zen Agro are irrigation management solutions that use sensors, weather data, and other inputs to provide real-time insights into soil moisture, crop water use, and other factors affecting irrigation. These platforms can provide alerts and recommendations for when and how much to irrigate, helping farmers optimize their irrigation practices and improve water use efficiency.;https://start.agritask.com/wp-content/uploads/2021/03/HZPC-case-study.pdf;NA;potatos;950 euros/per year 
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));Fairshare;Multipurpose- DSS/FMIS;VegSyst Decision Support System (VegSyst-DSS);Universidad de Almer?a;The VegSyst Decision Support System (VegSyst-DSS) has been developed to calculate daily N fertilizer and irrigation requirements, and the N concentration of the applied nutrient solution applied for fertigated vegetable crops grown in greenhouses. It can be used for crops grown in soil or substrate. N fertilizer requirements are based on daily crop N uptake and consider soil mineral N at planting, and N mineralized from manure and soil organic matter. Irrigation requirements are based on estimated evapotranspiration (ETc) and consider irrigation application efficiency and the salinity of irrigation water.  ETc can be calculated using the Penman-Monteith equation adapted to greenhouses or the Almeria radiation equation;https://w3.ual.es/GruposInv/nitrogeno/VegSyst-DSS.shtml;https://fairshare-pnf.eu/tool-detailsid=5e33213450aeb3490a24f3a8&flag=true&name=VegSyst-DSS;vegetables;free
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));Fairshare;Monitoring- FMIS;x Growing Support Systems;NetSensors;"N3tSensors AGRO PLUS is the Premium version of N3tSensors AGRO.The establish partnership between NumbersAgain and Itri Corporation (owner of Hawk-Eye™ Systems) gave us the possibility to expand our scope and advantages.The N3tSensors AGRO PLUS Platform gives you the power to have: - 24/7/365 Real-Time Monitoring and Control - Measurement & Listening to what the Crop has to ""Say"" - Prescribing Irrigation - Remote Scouting Crop  - Integration of new and existing Sensors and Agricultural Systems - Dashboard in a Web Browser (no App needed) - Alarms by Email, SMS and Voice - Data Export.N3tSensors AGRO PLUS has the exact same features and workflow of N3tSensors AGRO with the additional integration, upstream, of the Hawk-Eye™ Systems.";http://www.netsensors.pt/ps.html;https://fairshare-pnf.eu/tool-detailsid=5f6cc0961f68f325af42e155&flag=true&name=N3tSensors%20Agro%20Plus;all;4.900 euros and 150 euros/month (monthly subscription)
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));Fairshare;Monitoring- FMIS;Wisecrop;wisecrop;Recording and evaluation of the water stress of the plantation through the plant, meteorology, soil and/or substratePersonalized irrigation suggestions (time and quantity) depending on the production method and the data collected from the plantationPrograms, reports Remote control and immediate action in the irrigation system;https://www.wisecrop.com/en/apps;https://fairshare-pnf.eu/tool-detailsid=5f310bfc1f68f325af42e12b&flag=true&name=Wisecrop;all;30 euros/month
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));Fairshare;Monitoring- FMIS;NMP Online;Teagasc;NMP Online is an online web application that allows Agricultural Advisors to prepare Nutrient Management Plans required for farm management purposes.These plans are required both to show compliance with regulations and as a criteria for participation in farm management schemes.NMP Online has met the requirements for Nutrient Management Planning (NMP) for participation in the GLAS Scheme and for submission of the NMP element of the Nitrates Derogation application. It has been developed to handle the complex legislative and compliance framework that governs the management of nutrients and protection of waters.The system is used by more than 850 farm advisors nationwide, who now have more than 250k plans on the system for 60k farmers.The NMP online system was developed by Teagasc in conjunction with Compass Informatics Ltd, starting in 2014. It has continuously evolved since, to comply with changing legislation and to introduce new features.;https://www.teagasc.ie/about/our-organisation/connected/pricing--plans/;https://fairshare-pnf.eu/tool-detailsid=5e79e03ef72ec11a927e1f06&flag=true&name=NMP%20Online;all;250 euros/year
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));Fairshare;Monitoring- FMIS;EOSDA Crop Monitoring;EOS;EOSDA Crop Monitoring is an advanced satellite-powered precision farming platform for food producers, insurance companies, input suppliers, and other agricultural players.Effortlessly access data on crop health, weather conditions, crop rotation, field activities, elevation, soil moisture, and more — all seamlessly embedded into a user-friendly interface.;https://eos.com/;https://fairshare-pnf.eu/tool-detailsid=5e331b3d50aeb3490a24f3a7&flag=true&name=EOS%20Crop%20Monitoring;all;950 euros/year
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));Fairshare;Monitoring- FMIS;MyIrrigation;aquagri;MyIrrigation platform was developed to be a simple tool that integrates different sources of information, to give farmers/advisers/technicians the best available information in order to help them manage their daily operations regarding irrigation management.MyIrrigation integrates information from soil probes, water probes, weather stations, satellite Imagery and weather forecasting models.The main Aquagri's objetive when developing MyIrrigation was to create a simple and reliable tool to optimise water utilisation for irrigation;https://www.aquagri.eu/myirrigationlang=en;https://fairshare-pnf.eu/tool-detailsid=611f775ab96c330883d4d254&flag=true&name=MyIrrigation;all;60 euros/year
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));Smartakis ;Monitoring-FMIS ;TRUAS TrueAgriculturalSensing;AgroTechnology;Crop monitoring with usage of multispectral camera and small unmanned aerial vehicle (UAV) for nitrogen management and diseases and water stress monitoring. Final product is qualified nitrogen variable application prescription based on agronomical rules.;https://agrotechnology.pl/;https://smart-akis.com/SFCPPortal/#/app-h/technologiestechid=1604;all;6 euros/ha
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Irrigation-DSS;Irrigation pro;IrrigationPro;Irrigation Pro is an irrigation management software designed for agricultural operations. The software provides a range of tools and features to help farmers optimize their irrigation practices, including soil moisture monitoring, irrigation scheduling, and real-time data analysis. The software is compatible with a range of sensors and data sources, enabling farmers to monitor soil moisture, weather conditions, and other factors that impact irrigation. With Irrigation Pro, farmers can make informed decisions about when and how much to irrigate their crops, reducing water usage and increasing crop yield. Overall, Irrigation Pro is a powerful tool for improving irrigation management, reducing costs, and improving environmental sustainability.;https://www.irrigationpro.mk/;NA;arable crops, fruits, vineyards, vegetables;200 euros
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Monitoring-FMIS;iFarma - Pro;Agrostis;Ifarma helps the farmers to plan, monitor and keep records of all farming activities during the cultivating season. Producers can also keep records of quantities and cost of all inputs and resources, suchcas workers, machines, seeds, fertilizers, plant protectant. The ifarma app works both as a cloud/web and as a mobile app. It is suitable both for individual farmers and for producer organizations, cooperatives, and agriculture production companies.;https://ifarma.agrostis.gr/;NA;all;340/year for pro
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Monitoring-FMIS;iFarma - Basic;Agrostis;Ifarma helps the farmers to plan, monitor and keep records of all farming activities during the cultivating season. Producers can also keep records of quantities and cost of all inputs and resources, suchcas workers, machines, seeds, fertilizers, plant protectant. The ifarma app works both as a cloud/web and as a mobile app. It is suitable both for individual farmers and for producer organizations, cooperatives, and agriculture production companies.;https://ifarma.agrostis.gr/;NA;all;180 euros/year for basic
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Monitoring-FMIS;navfarm;Navfarm; Prudence Technology has built NAVFARM™, an application specifically meant to manage the Farms and livestock. NAVFARM™ not only helps to manage Farms and livestock but also contributes to achieving the production, food processing, and its distribution, bookkeeping along with critical reporting in a scheduled manner. NAVFARM™ is a user-friendly Business solution which is integrated with ERP systems like Microsoft Dynamics etc. It integrates through way- bridges that gives you complete automation and help you to better understand your business and make more confident and informed decisions.;https://www.navfarm.com/;NA;all;20 euros/month
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Monitoring-FMIS;Granular;Corteva;A portfolio of digital solutions that help agricultural professionals make informed, data-driven decisions. These next-generation digital solutions deliver knowledge and artificial intelligence that producers and agronomists need to run more efficient, profitable and sustainable businesses. They also detect and indicate future opportunities for innovation.  ;https://www.corteva.com/https://www.corteva.gr/content/dam/dpagco/corteva/eu/gr/el/files/granular-club/GRANULAR%20CLUB%20-%20%CE%A6%CE%A5%CE%9B%CE%9B%CE%91%CE%94%CE%99%CE%9F.PDF;NA;arrable;70 euros/year
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Monitoring-FMIS;INCOMMAND 800;Ag Leader ;The InCommand 800 by Ag Leader is a farm management information system designed to provide real-time monitoring and control for a range of farming operations. The system offers features such as crop monitoring, yield mapping, and data analysis to help farmers make informed decisions about planting, fertilizing, and harvesting their crops. The InCommand 800 integrates with a range of sensors and equipment, including GPS systems, planting and seeding systems, and yield monitors, providing farmers with real-time data and insights into their farming operations. The system also offers a user-friendly interface, allowing farmers to easily access and manage their data, as well as customizable dashboards and reports for tracking performance and progress over time. Overall, the InCommand 800 is a comprehensive farm management solution that helps farmers optimize their operations, increase yields, and reduce costs.;https://www.agleader.com/farm-management/displays/incommand/;NA;all;3.300 euros
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Monitoring-FMIS;INCOMMAND 1200;Ag Leader ;The InCommand 1200 by Ag Leader is a farm management information system that provides real-time monitoring and control capabilities for a wide range of farming operations. The system offers features such as crop monitoring, yield mapping, and data analysis to help farmers make informed decisions about planting, fertilizing, and harvesting their crops. The InCommand 1200 integrates with a variety of sensors and equipment, including GPS systems, planting and seeding systems, and yield monitors, providing farmers with real-time data and insights into their farming operations. The system also features a large, high-resolution display with a customizable interface that enables easy access and management of data. Farmers can also create customized dashboards and reports for tracking performance and progress over time. Overall, the InCommand 1200 is a powerful farm management solution that helps farmers optimize their operations, increase yields, and reduce costs.;https://www.agleader.com/;NA;all;6.300 euros
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Monitoring-FMIS;eVineyard Management Software;eVineyard ;eVineyard is an intuitive and easy-to-use vineyard management software that helps you grow better quality grapes more sustainably ;https://www.evineyardapp.com/vineyard_information_management;NA;grapes ;495 euros/month 
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Irrigation-DSS;CropX App;CropX;The CropX agronomic farm management system is an easy-to-use integrated hardware and software system that connects farm data, real-time conditions and agronomic knowledge to provide guidance for successful and sustainable farming, while aggregating all agronomic farm data in one place for easy tracking and sharing;https://cropx.com/;NA;all;400 euros/sensor/year 
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Multipurpose - DSS/ FMIS;HawkEye;HawkEye;HawkEye is a software solution designed for farming operations that provides a range of decision support, data recording, visualization, and reporting tools. The software helps farmers make sense of and visualize their farm activity and environment, allowing them to better understand and manage their operations. With HawkEye, farmers can collect and analyze data on various aspects of their farm, such as soil moisture, crop yield, weather conditions, and more. The software provides tools for creating maps, charts, and other visualizations that make it easier to interpret and act on the data. Overall, HawkEye can help farmers optimize their operations, improve yields, and reduce costs;https://www.hawkeye.farm/;NA;all;500 euros/year
crop;Farm Management Information Systems (FMIS) and applications (inc. Decision Support Systems (DSS), Quality Management Systems (QMS));NA;Multipurpose-FMIS;Trimble Ag Software;Trimble;Trimble Ag Software is a Farm Management Information System (FMIS) designed to help farmers, agronomists, and other agricultural stakeholders manage various aspects of their farming operations. The software provides tools for planning, monitoring, and analyzing data related to crops, livestock, and resources, enabling users to make informed decisions. Key features include field mapping and record keeping, crop planning and management, precision agriculture tools using GPS and GIS technologies, weather tracking and forecasting, financial management, livestock management, and mobile applications for on-the-go access. By centralizing data and offering decision support tools, Trimble Ag Software aims to streamline farm management, optimize operations, and improve profitability.;https://agriculture.trimble.com/en/products/software/trimble-agriculture-software;NA;all;1000 euros/year
