DAT Name;Number of animals;YEARS OF USAGE;Initial cost of Investment (€);Startup Fee per Cow (€);Monthly Cost per Cow (€);Depreciation;maintenance_costs;Number of Units (sensors etc.);Total cost of DAT Purchase (€);Milk Yield Increase (%);Average milk price per liter (€/ liter);Average liters of milk produced per cow per day (l);Price of Milk Yield in one year (€);Price of Increased Milk Yield in one year (€);Increased Revenue (€ in 1 year);Labor saving (%);Current Labor Cost (€ in 1 year);Labor cost savings  (€ in 1 year);Energy Saving(%);Current Energy Consumption  (in kWh);Cost of Energy per kWh (€);Current  Cost of Energy (€ in 1 year);Energy Cost Savings (€ in 1 year);Water Saving (%);Current Water Cost (€ in 1 year);Water Cost Saving (€ in 1 year);Increase Profit per Cow per Year (€);Profit per Cow Increase in 1 year (€);Feed Saving (%);Current Feed Cost (€ in 1 year);Feed Cost Saving (€ in 1 year);Feed Waste Saving (%);Current Feed Waste Cost (€ in 1 year);Feed Waste Cost Saving (€ in 1 year);Antibiotics Saving (%);Current Antibiotics Cost (€ in 1 year);Antibiotics Cost Saving (€ in 1 year);Mortality Rate Decrease (%);Current Mortality Cost (€ in 1 year);Mortality Cost Saving (€ in 1 year);Profitability Increase (%);Current Profitability (€ in 1 year);Profit Increase in 1 year (€);annual_change_in_net_income;return_on_investment_roi;payback_period;is_the_dat_beneficial
The Microdairy Portable Milking Machine;100;5;592;0;0;;;2;1184;4;0,6;20;438000;455520;17520;0;20000;0;0;50000;0,15;7500;0;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Fullwood Merlin;100;5;18426;0;0;;;1;18426;7;0,6;20;438000;468660;30660;0;20000;0;0;50000;0,15;7500;0;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Lely Astronaut A5;100;5;150000;0;0;;;1;150000;10;0,6;20;438000;455520;17520;4;20000;800;0;50000;0,15;7500;0;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
DeLaval VMS V300;100;5;110000;0;0;;;1;919;7;0,6;20;438000;468660;30660;0;20000;0;0;50000;0,15;7500;0;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
DairyRobot R9500;100;5;200000;0;0;;;1;200000;7;0,6;20;438000;468660;30660;0;20000;0;30;50000;0,15;7500;2250;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
GEA DairyProQ;100;5;55000;0;0;;;1;55000;14;0,6;20;438000;499320;61320;43;20000;8600;0;50000;0,15;7500;0;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
GEA DairyRotor T8900;100;5;2000000;0;0;;;1;2000000;14;0,6;20;438000;499320;61320;43;20000;8600;0;50000;0,15;7500;0;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Lely Astronaut A3 Next;100;5;188000;0;0;;;1;188000;7;0,6;20;438000;468660;30660;29;20000;5800;0;50000;0,15;7500;0;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
HAPPY COW (Ida Sensor);100;5;0;40;4;;;1;28000;0;0,6;20;438000;438000;0;30;20000;6000;0;50000;0,15;7500;0;0;5000;0;40;4000;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
AfiAct II;100;5;250;0;0;;;1;250;0;0,6;20;438000;438000;0;30;20000;6000;0;50000;0,15;7500;0;0;5000;0;40;4000;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Ovalert;100;5;2925;80;0;;;1;10925;0;0,6;20;438000;438000;0;30;20000;6000;0;50000;0,15;7500;0;0;5000;0;40;4000;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
CowScout;100;5;0;65;0;;;1;6500;0;0,6;20;438000;438000;0;30;20000;6000;0;50000;0,15;7500;0;0;5000;0;40;4000;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Pitstop BASIS mineral feeder;100;5;400;0;0;;;1;400;10;0,6;20;438000;481800;43800;0;20000;0;39;50000;0,15;7500;2925;0;5000;0;146;14600;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Lely Vector;100;5;180000;0;0;;;1;180000;10;0,6;20;438000;481800;43800;79;20000;15800;97;50000;0,15;7500;7275;0;5000;0;0;0;33;40000;13200;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Triomatic T30 feed kitchen;100;5;85000;0;0;;;1;85000;10;0,6;20;438000;481800;43800;20;20000;4000;39;50000;0,15;7500;2925;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Lely Calm automatic calf feeder;100;5;8500;0;0;;;1;8500;10;0,6;20;438000;481800;43800;65;20000;13000;39;50000;0,15;7500;2925;0;5000;0;0;0;0;40000;0;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
Boumatic Ranger;100;5;175000;0;0;;;1;175000;10;0,6;20;438000;481800;43800;20;20000;4000;39;50000;0,15;7500;2925;0;5000;0;0;0;0;40000;0;75;3000;2250;0;7000;0;0;2000;0;0;50000;0;;;;
The Transfeed DEC TMR Feed Robot;100;5;50000;0;0;;;1;50000;10;0,6;20;438000;481800;43800;25;20000;5000;39;50000;0,15;7500;2925;0;5000;0;0;0;33;40000;13200;0;3000;0;0;7000;0;0;2000;0;0;50000;0;;;;
