DAT Name;Number of animals;YEARS OF USAGE;Initial cost of Investment (€);Startup Fee per Pig(€);Monthly Cost per Pig(€);Depreciation;maintenance_costs;Number of Units (sensors etc.);Total cost of DAT Purchase (€);Milk Yield Increase (%);Average milk price per liter (€/ liter);Average liters of milk produced per animal per day (l);Price of Milk Yield in one year (€);Price of Increased Milk Yield in one year (€);Increased Revenue (€ in 1 year);Labor saving (%);Current Labor Cost (€ in 1 year);Labor cost savings  (€ in 1 year);Energy Saving in Lighting Systems (%);Current Energy Cosumption for Lighting Systems (in kWh);Cost of energy per kWh (€);Current  Cost of Energy for Lighting Systems (€ in 1 year);Energy Cost Savings (€ in 1 year);Water Saving (%);Current Water Cost (€ in 1 year);Water Cost Saving (€ in 1 year);Icrease Profit per Cow per Year (€);Profit per Cow Increase in 1 year (€);Feed Saving (%);Current Feed Cost (€ in 1 year);Feed Cost Saving (€ in 1 year);Feed Waste Saving (%);Current Feed Waste Cost (€ in 1 year);Feed Waste Cost Saving (€ in 1 year);Antibiotics Saving (%);Current Antibiotics Cost (€ in 1 year);Antibiotics Cost Saving (€ in 1 year);Mortality Rate Decrease (%);Current Mortality Cost (€ in 1 year);Mortality Cost Saving (€ in 1 year);Profitability Increase (%);Current Profitability (€ in 1 year);Profit Increase in 1 year (€);annual_change_in_net_income;return_on_investment_roi;payback_period;is_the_dat_beneficial
Boar Bot 2.0;200;6;7500;;;;;1;7500;0;;;0;0;0;95;25000;23750;0;60000;0.18;10800;0;0;4500;0;0;0;0;35000;0;0;;0;0;5000;0;0;1000;0;0;40000;0;;;;
Heat Detection Pigs;200;6;3750;;;;;1;3750;0;;;0;0;0;0;25000;0;0;60000;0.18;10800;0;0;4500;0;0;0;0;35000;0;0;;0;0;5000;0;0;1000;0;0;40000;0;;;;
PigNic & PigNic-Jumbo for piglets;200;6;1500;;;;;1;1500;0;;;0;0;0;0;25000;0;0;60000;0.18;10800;0;0;4500;0;0;0;10;35000;3500;0;;0;0;5000;0;0;1000;0;10;40000;4000;;;;
Liquimix liquid feeding;200;6;20000;;;;;1;20000;0;;;0;0;0;0;25000;0;0;60000;0.18;10800;0;0;4500;0;0;0;10;35000;3500;0;;0;0;5000;0;0;1000;0;10;40000;4000;;;;
Strohmatic Automatic Littering System;200;6;35000;;;;;1;35000;0;;;0;0;0;0;25000;0;0;60000;0.18;10800;0;0;4500;0;0;0;10;35000;3500;0;;0;0;5000;0;0;1000;0;10;40000;4000;;;;
Nedap Pig Sorting;200;6;;30;;;;1;6000;0;;;0;0;0;0;25000;0;0;60000;0.18;10800;0;0;4500;0;0;0;20;35000;7000;70;;0;0;5000;0;0;1000;0;10;40000;4000;;;;
Nedap Farrowing Feeding;200;6;;250;;;;1;50000;0;;;0;0;0;0;25000;0;0;60000;0.18;10800;0;0;4500;0;0;0;10;35000;3500;0;;0;0;5000;0;0;1000;0;10;40000;4000;;;;
ALIS Barn Lamps;200;6;125;;;;;1;125;0;;;0;0;0;0;25000;0;70;65000;0.18;11700;8190;0;4500;0;0;0;0;35000;0;0;;0;0;5000;0;0;1000;0;0;40000;0;;;;
SoundTalks;200;6;2000;;21;;;1;304700;0;;;0;0;0;0;25000;0;0;65000;0.18;11700;0;0;4500;0;0;0;0;35000;0;0;;0;38;5000;1900;0;1000;0;0;40000;0;;;;
Degree2act;200;6;375;;75;;;1;1080375;0;;;0;0;0;0;25000;0;0;65000;0.18;11700;0;0;4500;0;0;0;0;35000;0;0;;0;50;5000;2500;25;1000;250;0;40000;0;;;;
