DAT Name;Number of animals;YEARS OF USAGE;Initial cost of Investment (€);Startup Fee per Animal(€);Monthly Cost per Animal(€);Depreciation;maintenance_costs;Number of Units (sensors etc.);Total cost of DAT Purchase (€);Milk Yield Increase (%);Average milk price per liter (€/ liter);Average liters of milk produced per animal per day (l);Price of Milk Yield in one year (€);Price of Increased Milk Yield in one year (€);Increased Revenue (€ in 1 year);Labour saving (%);Current Labour Cost (€ in 1 year);Labour cost savings  (€ in 1 year);Energy Saving in Lighting Systems (%);Current Energy Consumption for Lighting Systems (in kWh);Cost of energy per kWh (€);Current  Cost of Energy for Lighting Systems (€ in 1 year);Energy Cost Savings (€ in 1 year);Water Saving (%);Current Water Cost (€ in 1 year);Water Cost Saving (€ in 1 year);Increase Profit per Animal per Year (€);Profit per Animal Increase in 1 year (€);Feed Saving (%);Current Feed Cost (€ in 1 year);Feed Cost Saving (€ in 1 year);Feed Waste Saving (%);Current Feed Waste Cost (€ in 1 year);Feed Waste Cost Saving (€ in 1 year);Antibiotics Saving (%);Current Antibiotics Cost (€ in 1 year);Antibiotics Cost Saving (€ in 1 year);Mortality Rate Decrease (%);Current Mortality Cost (€ in 1 year);Mortality Cost Saving (€ in 1 year);Profitability Increase (%);Current Profitability (€ in 1 year);Profit Increase in 1 year (€);annual_change_in_net_income;return_on_investment_roi;payback_period;is_the_dat_beneficial
CapriMAX;150;5;200000;;;;;1;200000;17;0.7;2.5;95812.5;112100.625;16288.125;25;15000;3750;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
OviMAX;150;5;200000;;;;;1;200000;17;0.7;2.5;95812.5;112100.625;16288.125;25;15000;3750;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
Swiftlo goat rotary;150;5;200000;;;;;1;200000;14;0.7;2.5;95812.5;109226.25;13413.75;43;15000;6450;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
Strohmatic Automatic Littering System;150;5;35000;;;;;1;35000;10;0.7;2.5;95812.5;105393.75;9581.25;0;15000;0;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
Transfeed DEC;150;5;50000;;;;;1;50000;10;0.7;2.5;95812.5;105393.75;9581.25;20;15000;3000;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;10;1000;100;0;3000;0;0;2500;0;0;25000;0;;;;
Lely Vector;150;5;180000;;;;;1;180000;10;0.7;2.5;95812.5;105393.75;9581.25;79;15000;11850;97;30000;0.17;500;485;0;2500;0;0;0;33;20000;6600;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
the FEEDR feeding robot;150;5;75000;;;;;1;75000;10;0.7;2.5;95812.5;105393.75;9581.25;20;15000;3000;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
Automated Feed Station;150;5;26000;;;;;1;26000;20;0.7;2.5;95812.5;114975;19162.5;0;15000;0;0;30000;0.17;500;0;0;2500;0;0;0;15;20000;3000;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
Jeantil Automatic Feeding;150;5;75000;;;;;1;75000;10;0.7;2.5;95812.5;105393.75;9581.25;0;15000;0;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
NOFENCE;150;5;200;;;;;1;200;0;0.7;2.5;95812.5;95812.5;0;25;15000;3750;0;30000;0.17;500;0;0;2500;0;0;0;0;20000;0;0;1000;0;0;3000;0;0;2500;0;0;25000;0;;;;
